label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
burger,0.36496946,0.7963874,2.2934228e-07,0.39785466,0.7688496,0.002798195,0.41882947,0.7343711,4.5652585e-05,0.43960175,0.72133076,-0.0051613236,0.45708877,0.72151494,-0.010435266,0.38533944,0.6695905,0.00309249,0.41392154,0.65153956,-0.004959343,0.4314378,0.64793533,-0.012671397,0.4472522,0.64775574,-0.019048352,0.37892058,0.6726989,-0.005292921,0.4146279,0.6471661,-0.015161825,0.43500882,0.6459791,-0.022481602,0.45287204,0.64886945,-0.027176006,0.37696773,0.6859208,-0.014283256,0.41042048,0.6615578,-0.02267254,0.4313885,0.654992,-0.027207538,0.44839254,0.6496769,-0.029992798,0.37951788,0.7074779,-0.02346477,0.40495592,0.6892153,-0.029312588,0.42045495,0.6782548,-0.032041185,0.4341522,0.6670031,-0.034168057,0.6136652,0.7831427,-1.1584578e-07,0.5801107,0.7619246,0.0017612894,0.55641574,0.7371065,-0.0028909163,0.5350666,0.7280859,-0.0094438605,0.5185013,0.7278513,-0.015818125,0.5842398,0.6681591,0.0014105688,0.5575311,0.63954544,-0.0072524566,0.5377336,0.63516617,-0.0151238125,0.520233,0.63957447,-0.02020465,0.5878053,0.6710835,-0.0052727014,0.55257505,0.63191044,-0.015196273,0.5320736,0.63474077,-0.022374084,0.51759225,0.6477859,-0.026329368,0.588079,0.6828216,-0.012332296,0.5566238,0.6477581,-0.019439999,0.53494614,0.6441592,-0.022377515,0.51897836,0.6503176,-0.023372047,0.58374697,0.702348,-0.019326378,0.560277,0.674368,-0.022463316,0.5442973,0.6642169,-0.02248876,0.5310798,0.66139287,-0.022275094
burger,0.37842712,0.8064868,1.9908654e-07,0.41450837,0.7824992,0.0028639182,0.43640998,0.7558835,-0.0013812232,0.45551497,0.74452907,-0.008217471,0.47350624,0.74311733,-0.015008263,0.40537673,0.6868455,0.0005443565,0.43525594,0.6713056,-0.008207348,0.45368242,0.6716339,-0.016344398,0.46968326,0.67458075,-0.022780009,0.39997128,0.6901388,-0.008143648,0.4367484,0.66991526,-0.017770743,0.45703158,0.6718334,-0.024526363,0.47414112,0.6765245,-0.029154448,0.39882237,0.7045982,-0.017199652,0.43457758,0.6847898,-0.025015328,0.4556639,0.6822011,-0.028055627,0.47246972,0.6808208,-0.03012582,0.40231737,0.72845757,-0.026464278,0.43009982,0.71327287,-0.031283967,0.4462656,0.7046482,-0.03223161,0.46009353,0.69673246,-0.033192128,0.6083797,0.7968862,-6.747848e-08,0.57280093,0.77899635,0.00510032,0.54814637,0.7540709,0.0026179317,0.5267999,0.74588275,-0.0019654487,0.5093024,0.7475981,-0.007225895,0.5708607,0.6885456,0.0006991964,0.5406859,0.66596556,-0.0055909627,0.52208203,0.6596619,-0.01104047,0.50500745,0.6593875,-0.014939209,0.5735762,0.6911499,-0.006705243,0.5358677,0.65879065,-0.014691416,0.51602775,0.6588016,-0.019992867,0.49971694,0.66605264,-0.023332514,0.57353795,0.7047806,-0.013772145,0.5394246,0.6764584,-0.019502873,0.51884454,0.6711616,-0.021923065,0.50174856,0.67269325,-0.023329346,0.56887054,0.7265826,-0.02034796,0.54309016,0.70500195,-0.023122193,0.5267259,0.6944451,-0.023444373,0.51273346,0.68753415,-0.023926474
burger,0.35277474,0.8107041,1.3350235e-07,0.36951023,0.78494364,-0.0030828882,0.38550928,0.74928355,-0.0052743074,0.40224078,0.7308735,-0.00913121,0.41822353,0.71903735,-0.013243484,0.38238993,0.7184192,0.008947699,0.39269915,0.6827922,0.006464262,0.40053865,0.6663638,0.002564962,0.40797836,0.6551087,-0.00084064226,0.38004363,0.7220415,0.005701434,0.3917945,0.68481076,0.0035316749,0.40002748,0.6674318,-0.0007604429,0.40806395,0.65607154,-0.003943135,0.37610823,0.728984,0.00071342004,0.38710722,0.69327426,-0.0013009965,0.3948674,0.67651725,-0.0024636067,0.4032003,0.6656162,-0.00340771,0.3720371,0.73799163,-0.005299789,0.37994647,0.7105234,-0.0068874583,0.3868703,0.69751793,-0.006830558,0.39376485,0.6885381,-0.0069098813,0.65785205,0.8149152,-9.966508e-08,0.6232347,0.7842378,0.0039679436,0.5981376,0.753733,0.00064239046,0.5776181,0.74267185,-0.005433146,0.5606293,0.7368959,-0.011351702,0.6264862,0.69579357,0.004667478,0.60581696,0.6612363,-0.005163648,0.5873069,0.65403086,-0.013855541,0.56983864,0.6560479,-0.019714652,0.63127685,0.70019704,-0.0043079625,0.60289973,0.6520864,-0.01676199,0.58200085,0.6516351,-0.025226139,0.5655528,0.66093093,-0.029703915,0.63336945,0.71271235,-0.01394648,0.60694724,0.67035675,-0.023408538,0.5858071,0.6655303,-0.027090594,0.569184,0.6695181,-0.028261203,0.63070285,0.73256296,-0.023396505,0.610862,0.7016116,-0.0285743,0.59565556,0.68778473,-0.029890506,0.582157,0.67823124,-0.030610343
burger,0.3493013,0.786283,2.6004e-07,0.37886533,0.7576864,-0.0010508882,0.40060976,0.7246605,-0.0054397485,0.4204403,0.7104943,-0.011720168,0.43789318,0.7056242,-0.017651545,0.36957332,0.6622986,0.003118839,0.39514554,0.64553636,-0.005876403,0.41280356,0.64314765,-0.014623764,0.4283996,0.6438512,-0.02102784,0.36245182,0.66277605,-0.0028286974,0.3940726,0.6408504,-0.012707687,0.41266668,0.6391661,-0.020342538,0.42948154,0.6410571,-0.024934562,0.35875794,0.6721957,-0.0099482965,0.38995177,0.6535396,-0.017744467,0.40851623,0.64711016,-0.021721836,0.42432937,0.6436723,-0.023786342,0.35885203,0.6896681,-0.017788576,0.3835396,0.67527586,-0.022964783,0.39831972,0.66734785,-0.025044007,0.41142422,0.6602709,-0.026179487,0.63026875,0.78236336,-9.021023e-08,0.5954151,0.75999826,0.0016373557,0.57123804,0.7328599,-0.0027108437,0.55045646,0.72152054,-0.008912172,0.5342911,0.72005075,-0.0151442075,0.5992889,0.66862744,-1.1986585e-05,0.5742315,0.6372569,-0.00813772,0.5560587,0.63078177,-0.015351043,0.5389264,0.6324798,-0.020320259,0.60262895,0.6726976,-0.006323742,0.569437,0.6313736,-0.016717982,0.55029047,0.62898064,-0.024626127,0.5350502,0.63618654,-0.029457854,0.60379857,0.68444103,-0.012730067,0.575047,0.6459634,-0.019522345,0.55424464,0.6368278,-0.023000794,0.5376417,0.6388109,-0.024862353,0.60041964,0.70322555,-0.019051077,0.5791688,0.67380804,-0.021778557,0.5643143,0.6579549,-0.022471022,0.55140734,0.64813673,-0.023228431
burger,0.32915598,0.75580245,3.0983654e-07,0.35870457,0.7244666,0.0010517812,0.3796853,0.6933113,-0.0031602536,0.39929813,0.6821709,-0.009930266,0.41655478,0.6797397,-0.016945787,0.35231537,0.631106,0.004389237,0.37433583,0.609186,-0.004074074,0.39151925,0.6040549,-0.0127738295,0.4077747,0.60535526,-0.019322036,0.34471905,0.63132596,-0.0029178623,0.3710006,0.6049257,-0.012205293,0.39024124,0.59891796,-0.020751605,0.40818682,0.60077906,-0.026272934,0.34016207,0.64115,-0.011040284,0.3672007,0.61729455,-0.018728944,0.38641402,0.6096026,-0.023637613,0.4035013,0.6064033,-0.026432384,0.33952928,0.6598305,-0.019611329,0.36189172,0.6430025,-0.025173482,0.3767504,0.6320731,-0.027682982,0.39015847,0.6231052,-0.02906586,0.6465769,0.7438041,-7.295301e-08,0.6106878,0.7227225,0.0021747097,0.58587736,0.69977534,-0.0010272053,0.56585324,0.6919364,-0.0065773074,0.5491648,0.689029,-0.012294747,0.6073201,0.6349849,0.0042465613,0.58374715,0.60818744,-0.0038440127,0.5665367,0.6015965,-0.0120273,0.5507934,0.6024578,-0.017814193,0.6124309,0.6358849,-0.0025886786,0.58277327,0.60287994,-0.012256025,0.5634553,0.6007307,-0.020692142,0.5473393,0.6060383,-0.026318809,0.61612755,0.6458496,-0.010189658,0.58877265,0.61432344,-0.017649073,0.5687955,0.6079875,-0.022433927,0.55235577,0.60958964,-0.025419382,0.6162592,0.6631615,-0.017829996,0.595453,0.63948613,-0.022517255,0.5802053,0.6278442,-0.024879104,0.5669068,0.6188418,-0.026792243
burger,0.35603374,0.7479217,2.1990178e-07,0.39144856,0.72579205,0.0022163768,0.41326824,0.70308167,-0.0018912345,0.4326538,0.6964601,-0.008819917,0.44993928,0.6955661,-0.015923316,0.3849227,0.62867165,0.0043036593,0.41336238,0.61547303,-0.0030158365,0.43099084,0.61242807,-0.010669333,0.44643462,0.6130797,-0.01649534,0.37878108,0.62935525,-0.0033408217,0.4138024,0.61216015,-0.011686225,0.4333227,0.609449,-0.01912694,0.45057538,0.6123639,-0.023788685,0.37593246,0.6396833,-0.011472119,0.41029066,0.6214517,-0.017434495,0.43102,0.615226,-0.021464068,0.44820336,0.61252457,-0.023988852,0.3773095,0.6595763,-0.020016955,0.4047586,0.6458871,-0.023339832,0.42054746,0.63667464,-0.024167877,0.43426618,0.6290001,-0.024705429,0.61046016,0.7382033,8.255741e-09,0.5724974,0.71520627,0.006738733,0.5498306,0.6910002,0.006088793,0.5299117,0.68436503,0.0023990816,0.5120845,0.6845719,-0.0021450971,0.5690453,0.6273075,0.010919176,0.54256475,0.6121752,0.007617131,0.5245761,0.60762227,0.0024510035,0.5074789,0.60562104,-0.0019955642,0.57315,0.62651247,0.003027876,0.5390402,0.6064085,-0.0014398202,0.5193183,0.60474515,-0.007331409,0.50208926,0.6036884,-0.012089896,0.57505006,0.6379561,-0.005062962,0.54285365,0.61611396,-0.008738087,0.5231737,0.60963976,-0.011186311,0.5060224,0.6054421,-0.01325568,0.57202893,0.65882087,-0.012775462,0.5485217,0.641588,-0.014030454,0.5343702,0.6295481,-0.013734963,0.5214095,0.617304,-0.014131184
burger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6448949,0.7372252,-1.2763854e-07,0.6117391,0.71634114,0.0016181131,0.58802164,0.6917574,-0.0012577528,0.5676058,0.6848992,-0.0067783487,0.5507257,0.6839766,-0.012489347,0.60649526,0.6313047,0.0063294633,0.58656716,0.6033773,-0.00093444093,0.5715103,0.597996,-0.008902143,0.5571562,0.59881955,-0.014974209,0.6122702,0.630313,-0.00067171454,0.5863159,0.59616256,-0.0112343505,0.56891185,0.59477574,-0.021186393,0.55384886,0.601326,-0.027526347,0.6170431,0.6384099,-0.008385033,0.5918303,0.6058879,-0.016803004,0.5735523,0.60063577,-0.022141201,0.5586298,0.6037276,-0.0249943,0.61844766,0.6536944,-0.016142346,0.5978958,0.6297595,-0.021138828,0.58336896,0.61797947,-0.023216344,0.57097644,0.6108397,-0.024710825
burger,0.36704573,0.7479131,2.5885237e-07,0.39297256,0.7345637,0.001437982,0.41278675,0.7128853,-0.0014870615,0.4325934,0.70806897,-0.0070366478,0.45072994,0.70681703,-0.0122802025,0.38684478,0.6469214,0.007220964,0.4111737,0.6328296,-0.00022783838,0.4302301,0.6311952,-0.007709416,0.4454789,0.633903,-0.012784992,0.38068694,0.6425892,0.0003764346,0.41117683,0.6218145,-0.0074790353,0.43182504,0.62351406,-0.014022374,0.4479478,0.63230455,-0.017779713,0.37851053,0.6472734,-0.007578269,0.40879813,0.62584555,-0.014323984,0.42932877,0.62471056,-0.017177574,0.44491825,0.62912834,-0.018225597,0.38072905,0.66100305,-0.015983103,0.40747917,0.6470392,-0.020001017,0.4238265,0.64137876,-0.020467412,0.43673325,0.6391057,-0.020353474,0.6063515,0.7429213,-2.7865056e-08,0.5716892,0.72556746,0.0049976255,0.5487554,0.7025503,0.003766213,0.52848214,0.69709826,-0.00021841322,0.51090103,0.6981855,-0.0045309304,0.5661927,0.63781106,0.009296725,0.5411456,0.61530167,0.0039962768,0.522489,0.6146581,-0.0017285995,0.5069109,0.62061834,-0.0054412675,0.57085407,0.63574415,0.00202421,0.5379047,0.60844773,-0.0029866772,0.51782763,0.61209005,-0.0077991695,0.5035291,0.6207436,-0.0110138245,0.57343686,0.6444116,-0.0059935753,0.54171574,0.61769366,-0.010509465,0.52014565,0.61701465,-0.013084621,0.5041142,0.62301403,-0.014365762,0.5720989,0.66071093,-0.013806197,0.54551315,0.63965493,-0.016162442,0.5287379,0.63363963,-0.016457831,0.5154249,0.63278544,-0.016476085
burger,0.34588104,0.7524249,2.3456211e-07,0.3725965,0.73653775,-0.0012433615,0.39706236,0.7051396,-0.00506303,0.41742516,0.69687116,-0.01032235,0.43518725,0.7020782,-0.015711226,0.37480417,0.6443969,1.5321286e-05,0.3937169,0.62109345,-0.0069969925,0.4084097,0.61658925,-0.0135304965,0.42160237,0.6188849,-0.018484466,0.3648972,0.64225215,-0.00534036,0.38951933,0.6127998,-0.013673732,0.40684196,0.610234,-0.020320699,0.42216402,0.61408716,-0.024285149,0.35724732,0.64871174,-0.011440133,0.38197422,0.6180246,-0.019345412,0.40088618,0.61393464,-0.023309838,0.41773075,0.6153689,-0.02525554,0.35432377,0.6633807,-0.017931562,0.3782925,0.6442913,-0.024464475,0.39476845,0.63672465,-0.02705147,0.40927854,0.63190734,-0.028298149,0.62922287,0.75549346,-1.5823352e-07,0.59774595,0.7399431,0.0031342437,0.5735635,0.7140394,0.000885302,0.55391526,0.7046513,-0.004074272,0.53622204,0.70504063,-0.009167678,0.59247756,0.6509599,0.0058390326,0.5715447,0.62099,-0.0025080421,0.55458874,0.61806124,-0.010209981,0.54052573,0.6228549,-0.015446851,0.5980865,0.65010405,-0.0019019,0.57084465,0.6151135,-0.011905226,0.5519769,0.61738384,-0.019576084,0.5371562,0.6261871,-0.024160497,0.60209525,0.6571716,-0.0105287675,0.5758613,0.62410635,-0.018857915,0.55578214,0.62373245,-0.022907475,0.5398661,0.6293763,-0.024789616,0.6024326,0.6708234,-0.019102737,0.5815835,0.64593595,-0.02413416,0.5671669,0.63737535,-0.025735272,0.5549719,0.632056,-0.026719699
burger,0.34518114,0.7650558,2.0499975e-07,0.37528762,0.7463698,0.0015187496,0.39710099,0.7199525,-0.002491343,0.41739035,0.71093005,-0.009088594,0.43622053,0.7104693,-0.015775438,0.3715353,0.6538498,0.0028275498,0.39461628,0.6324903,-0.005861055,0.4129564,0.6284663,-0.013870855,0.42775926,0.6305726,-0.019456092,0.36419946,0.6525773,-0.0044438746,0.3933831,0.62213093,-0.013571151,0.4136615,0.62103933,-0.020416182,0.42956048,0.6280304,-0.024372559,0.36049697,0.6596703,-0.012454198,0.39031446,0.63156533,-0.02026475,0.41106886,0.6276043,-0.023861581,0.4271553,0.6299037,-0.025512535,0.36131766,0.67571354,-0.020780593,0.38713512,0.65740615,-0.026166184,0.40339267,0.6493058,-0.027727356,0.4168567,0.64522,-0.028349971,0.63132447,0.75521487,-7.8082515e-08,0.6002426,0.7389091,0.0018773577,0.5770826,0.71408933,-0.0019029719,0.55771714,0.7067046,-0.008022128,0.5397434,0.7076123,-0.01422544,0.5966082,0.6516115,0.004175424,0.57740563,0.62159085,-0.004038149,0.56075495,0.6156169,-0.011790214,0.54573536,0.61734194,-0.01727343,0.6029684,0.6506315,-0.0031503497,0.5774577,0.61667615,-0.012294537,0.5583529,0.61628103,-0.01920239,0.5432268,0.6230218,-0.023674907,0.6071426,0.65904266,-0.011418271,0.58206046,0.6262021,-0.018489273,0.56235987,0.6220135,-0.021514159,0.5466302,0.6240555,-0.023307096,0.6074704,0.6751893,-0.019837366,0.58803886,0.6516114,-0.023968747,0.57452255,0.6404638,-0.025111515,0.56290567,0.6323489,-0.026135601
