HKU_HKSLLEX_ID.status,HKU_HKSLLEX_ID.id,HKU_HKSLLEX_ID.entryType,HKU_HKSLLEX_ID.categories,recording.date,recording.remarks,videoFile.name,videoFile.duration,videoFile.fileExtension,videoFile.supplementary,videoFile.nameOSF,videoFile.nameGIF,ASLLEX2.id,ASLLEX2.legacyIdMapping,ASLLEX2.correspondance,translation.EN-GB.primary,translation.EN-GB.disambiguation,translation.EN-GB.secondary,translation.ZH-HK.primary,translation.ZH-HK.disambiguation,translation.ZH-HK.secondary,translation.ZH-Yue.primary,translation.ZH-Yue.secondary,translation.unichar,translation.unprocessed.en-GB,translation.unprocessed.zh-HK,translation.unprocessed.zh-YUE,translation.literal,translation.figurative.en-GB,translation.figurative.zh-HK,translation.figurative.zh-YUE,source,variant.number,variant.notes,lexicalCategory.0,cuhkcslds_HandshapeFont.CodepointNotation,arto.stringNotation,arto.syllableBoundaries,morphemeCount,demonstrator,etymology.unprocessed.en-GB,etymology.unprocessed.zh-YUE,etymology.formal.en-GB,etymology.formal.zh-HK,etymology.formal.zh-YUE,etymology.category,iconicity.rating.deaf.average,iconicity.rating.deaf.count,iconicity.rating.hearing.average,iconicity.rating.hearing.count,lexicalCategory.1,lexicalCategory.2,videoFile.supplementary.0.fileName,videoFile.supplementary.0.type,videoFile.supplementary.0.content.text,videoFile.supplementary.0.content.language,videoFile.supplementary.0.fileExtension,videoFile.supplementary.1.fileName,videoFile.supplementary.1.type,videoFile.supplementary.1.content.text,videoFile.supplementary.1.content.language,videoFile.supplementary.1.fileExtension
live,HKSLLEX-2023-00000001,vocabulary,,2022-12-31,,HKSLLEX-2023-00000001.mp4,,mp4,,HKSLLEX-2023-00000001-Start.mp4,HKSLLEX-2023-00000001-Start.webp,start,start,1to1,start,,,開始,,,開始,,,"Literal translation: two flat surfaces coming apart in an upward motion; figurative translation (h): the motion of a box opening, referring to the first Chinese character 開 ""open"" in 開始 ""start""",,,,,,,ASLLEX2,,,動詞,120;120,A2,1,1,cynthia,,,,,,,1.833333333,6,2.684210526,19,,,,,,,,,,,,
live,HKSLLEX-2023-00000002,vocabulary,,2022-12-31,,HKSLLEX-2023-00000002.mp4,,mp4,,HKSLLEX-2023-00000002-Puzzled.mp4,HKSLLEX-2023-00000002-Puzzled.webp,puzzled,puzzled,1to1,puzzled,,,疑惑,,,疑惑,,,"[Literal translation: morphemes of GOOD and BAD circling at the chest repeatedly] Literal translation (h): a hand moving left and right repeatedly in front of the face, with the palm facing toward the signer; figurative translation: a hand waving in front of the face, so that the signer's vision is unclear [remark: the video has changed, therefore a new literal translation is recorded]",,,,,,,ASLLEX2,,,動詞,63;0,N,1,1,cynthia,,,,,,,4.3,10,4.058823529,17,,,,,,,,,,,,
live,HKSLLEX-2023-00000003,vocabulary,,2022-12-31,,HKSLLEX-2023-00000003.mp4,,mp4,,HKSLLEX-2023-00000003-Surprise.mp4,HKSLLEX-2023-00000003-Surprise.webp,surprise,surprise,1to1,surprise,,,驚喜,,,驚喜,,,Literal translation: hands together at the chest outlining a heart moving upwards and expanding in a single beat; figurative translation (h): the heart jumping up and becoming larger,,,,,,,ASLLEX2,,,名詞,67;67,N,1,1,cynthia,,,,,,,3.777777778,9,3.391304348,23,,,,,,,,,,,,
live,HKSLLEX-2023-00000004,vocabulary,,2022-12-31,,HKSLLEX-2023-00000004.mp4,,mp4,,HKSLLEX-2023-00000004-Hearingaid.mp4,HKSLLEX-2023-00000004-Hearingaid.webp,hearing_aid,hearing_aid,1to1,hearing aid,,,助聽器,,,助聽器,,,Literal translation: a hooked slender object hung on the ear; figurative translation (h): the shape of the hearing aid,,,,,,,ASLLEX2,,,名詞,76;0,R,1,1,cynthia,,,,,,,4.583333333,12,5.043478261,23,,,,,,,,,,,,
live,HKSLLEX-2023-00000005,vocabulary,,2022-12-31,,HKSLLEX-2023-00000005.mp4,,mp4,,HKSLLEX-2023-00000005-Blind.mp4,HKSLLEX-2023-00000005-Blind.webp,blind,blind,Mto1,blind,,,盲,,,盲,,,"Literal translation: morpheme BAD pointing from one eye to the next; figurative translation (h): bad eyes, indicating visual impairment",,,,,,,ASLLEX2,,,形容詞,80;0,R,1,1,cynthia,,,,,,,5.4,10,3.727272727,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000006,vocabulary,,2022-12-31,,HKSLLEX-2023-00000006.mp4,,mp4,,HKSLLEX-2023-00000006-Bored.mp4,HKSLLEX-2023-00000006-Bored.webp,bored,bored,1to1,bored,,,悶,,,悶,,,"Literal translation: morpheme MUCH (relating to SPECIAL) starting at the top of the chest and gradually closing as it moves down the chest, as if depleting; figurative translation (h): emotions, especially of excitement, depleting, becoming less and less",,,,,,,ASLLEX2,,,動詞,67;0;74;0,N,1,1,cynthia,,,,,,,2.166666667,6,2.642857143,28,形容詞,,,,,,,,,,,
live,HKSLLEX-2023-00000007,vocabulary,,2022-12-31,,HKSLLEX-2023-00000007.mp4,,mp4,,HKSLLEX-2023-00000007-Responsibili.mp4,HKSLLEX-2023-00000007-Responsibili.webp,responsibility,responsibility,1to1,responsibility,,,責任,,,責任,,,"Literal translation: a hand placed on the shoulder; figurative translation (h): referring to the Chinese idiom 肩負重任 ""shoulder bearing heavy responsibility""",,,,,,,ASLLEX2,,,名詞,44;0,N,1,1,cynthia,,,,,,,2.7,10,3.363636364,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000008,vocabulary,,2022-12-31,,HKSLLEX-2023-00000008.mp4,,mp4,,HKSLLEX-2023-00000008-Bath.mp4,HKSLLEX-2023-00000008-Bath.webp,bath,bath,1to1,bath,,,洗澡,,,沖涼,,,Literal translation: two hands grasping the ends of a long piece of fabric pulling back and forth repeatedly; figurative translation (h): hands grabbing a long piece of fabric rubbing against the back,,,,,,,ASLLEX2,,,動詞,49;49,A,1,1,cynthia,,,,,,,5.222222222,9,5.043478261,23,,,,,,,,,,,,
live,HKSLLEX-2023-00000009,vocabulary,,2022-12-31,,HKSLLEX-2023-00000009.mp4,,mp4,,HKSLLEX-2023-00000009-Some.mp4,HKSLLEX-2023-00000009-Some.webp,some,some,1to1,some,,,一些,,,一啲,,,"Literal translation: index finger and thumb repeatedly clasping a series of small objects in a row; figurative translation (h): at different locations, taking a little, or referring to the possession of a little",,,,,,,ASLLEX2,,,副詞,77;0,N,1,1,cynthia,,,,,,,4,12,2.272727273,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000010,vocabulary,,2022-12-31,,HKSLLEX-2023-00000010.mp4,,mp4,,HKSLLEX-2023-00000010-Awkward.mp4,HKSLLEX-2023-00000010-Awkward.webp,awkward,awkward,Mto1,awkward,,,尷尬,,,尷尬,,,Literal translation: morpheme GREEN moving in a circular motion outlining the face; figurative translation (h): face turning green in an awkward situation,,,,,,,ASLLEX2,,,形容詞,89;0,NR,1,1,cynthia,,,,,,,2.888888889,9,3.526315789,19,,,,,,,,,,,,
live,HKSLLEX-2023-00000011,vocabulary,,2022-12-31,,HKSLLEX-2023-00000011.mp4,,mp4,,HKSLLEX-2023-00000011-Relationship.mp4,HKSLLEX-2023-00000011-Relationship.webp,relationship,relationship,1to1,relationship,,,關係,,,關係,,,"Literal translation: two circular objects interlinked like a chainlink; figurative translation (h): interlinked circles, indicating connection",,,,,,,ASLLEX2,,,名詞,79;79,R,1,1,cynthia,,,,,,,3.1,10,4.136363636,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000012,vocabulary,,2022-12-31,,HKSLLEX-2023-00000012.mp4,,mp4,,HKSLLEX-2023-00000012-Favorite.mp4,HKSLLEX-2023-00000012-Favorite.webp,favorite,favorite,1to1,favorite,,,最鍾意,,,最鍾意,,,,,,,,,,ASLLEX2,,,動詞,77;0.50;120,"N,N",1.1,2,cynthia,,,,,,,3,10,2.941176471,17,語句,,,,,,,,,,,
